alpha,beta,theta,delta,label
10.300780959425753,20.65564921367641,5.473335347340549,1.8854528690827579,car
12.669753688665907,24.27751983889136,5.552236521944092,3.356869809147068,bike
8.00338115760449,15.36797791308458,4.332530458952552,1.4510851642222484,phone
13.501259349530516,17.021216381993014,6.511399194555002,2.8504006122835763,house
16.588728818281965,17.202024628489948,7.75093852622054,4.377187536766835,tree
9.314466781053296,20.473017780519413,4.656531555351155,2.187615606287038,car
12.801438690063454,24.85940451315293,5.904439760456996,2.572836827441771,bike
7.236207715208035,15.922823317031165,4.180186731421571,1.1273856357313488,phone
13.727112520847719,18.675199448304706,7.3695909672541156,2.9900291632324456,house
15.36796889639709,16.653915337774787,8.32684518826066,4.032503691035615,tree
9.851531346577751,19.801181680651098,5.301703904151941,2.2202838033238312,car
11.593805672174527,25.832789418393467,5.549247242621182,2.814219828235833,bike
7.365959418687987,14.099038028878034,4.168060442257653,1.428692740993428,phone
13.221501399587378,17.745686108750657,6.827411806354792,3.4852227234783215,house
15.103179243065378,17.454998604730875,8.327644158506489,3.89133082770882,tree
10.377860584325125,19.618111126284283,4.507420717457635,2.019978996248312,car
12.554595061156476,24.128056405948644,6.443882059097571,3.0815670508528434,bike
7.255742017981111,15.168196817390168,3.896309616236032,1.1410411581439843,phone
14.548397223533891,18.252543574184656,7.108959421121715,3.390017895413729,house
15.32901179610848,16.71695761605962,7.716514964647132,3.686587806087251,tree
10.286759184731213,20.54602198605481,4.91252943234783,1.8176407043896303,car
11.86327353744237,24.03919526775614,5.602219150916849,3.4480129443793244,bike
8.545175705902857,15.52836769403816,3.768369510685354,1.2055023744810827,phone
14.574417157427993,17.125566138585523,7.385112247270939,2.9190852953019344,house
15.955158406510513,16.592248514234516,8.048881792596777,4.113245924342419,tree
10.832829442312114,20.026219241627757,4.591266831543578,2.0815344518422627,car
12.371297726211886,25.335965162531398,5.735068393392246,2.547106965751335,bike
8.891456498264825,15.306235988194375,3.668455423632473,1.1964135664929734,phone
13.093594850006884,17.997389259134085,7.466049413689075,2.8697045543409896,house
16.326448224954603,16.989486093542595,7.718572165634219,3.9475549013978415,tree
10.410000323110365,20.42930419231247,5.342452525431463,2.42152194131075,car
12.454826881405735,24.743679913975367,6.451136504964706,3.402773818373146,bike
8.699641168624797,14.253488450126,4.3956261435799515,1.461004715042643,phone
14.14500339575599,18.973344746504708,7.361363571315829,3.043350643073665,house
15.53500028795067,16.921936241823342,8.306178333283617,3.7438122629260695,tree
10.354592356819623,19.904847947086157,4.794843786825036,1.9926396651702383,car
11.120079380825228,24.466161611117442,5.519657720763898,3.3557219392359556,bike
8.367010719597413,14.138700588788518,3.8242643599583204,0.816414210445366,phone
13.862401187138436,17.187148897787274,6.53978887694308,3.4407946614081943,house
15.451415948595757,17.3729698663051,8.189227585068254,4.389497985567386,tree
10.22181414826635,20.283245992409356,5.347702297290784,2.0546941510854415,car
11.753291164126466,24.14351452222948,5.899767409428526,3.1236129108709827,bike
7.964948064893372,15.597285250198091,3.522503851617216,1.4533114333560924,phone
14.131218360246335,18.872854385046058,7.377837247320081,3.3176450387762553,house
16.714621129155848,16.093537927685198,8.286877338338252,4.036108849608489,tree
9.393074186525542,19.36057223690172,5.220240468926452,2.0823218656466977,car
11.694273761811006,25.98332275010201,6.307067128432779,3.4194350884776012,bike
7.270696464797703,15.865256425711612,3.7007070021498065,0.8487053761741494,phone
13.035512608137976,18.447943028425875,6.763724701802602,3.000694220700654,house
15.431081863637552,16.983618486927885,8.245816712013559,3.9714709819604623,tree
9.554704923090492,20.640276295226307,4.772041614329333,2.1373997409510723,car
11.180436175327653,24.282217342462715,5.790245256856944,2.6631845510200516,bike
8.790032600674152,15.390968951542181,3.6701935883539254,1.3052830451795971,phone
13.159055393271489,17.05497228232052,6.854794884074811,2.9713537919994324,house
16.97992586737189,16.407459047654697,8.014330945800324,3.9732212854755273,tree
9.150844234387677,20.111227583511734,4.749524781302393,1.9021041178236366,car
11.998511123396492,24.916767450354413,6.27545505549837,2.762047002221715,bike
8.429259267899393,15.153792685550066,3.5233249274544667,1.3788420369169474,phone
13.235678545345086,17.91227553827031,6.74424618648827,3.221546405892723,house
16.626637633839206,17.423994057022522,8.030827588904776,4.216689447699284,tree
9.247719870186595,20.109024326970477,5.244475177197055,1.879270603846149,car
12.702441203031206,25.25157880953625,6.4856139111220905,2.970691668953735,bike
8.910727317397658,15.316961726726174,4.276572929708935,0.9894038618822718,phone
14.102435475116854,17.68695474391601,7.368536743603769,3.326987439607975,house
16.197603620581564,17.630432081310982,8.111628934000949,3.656019808020707,tree
9.150946455351365,19.265637832186126,4.876899560138804,2.2982887027970764,car
11.554805147843748,25.87320105430158,6.047191660663554,2.9731034942734285,bike
8.93857206249751,14.627500754301842,3.850777783975819,0.9854667855936523,phone
14.632348181543097,18.437692935183293,7.035251204543007,3.322675006545717,house
16.93003812938051,17.56921259058226,7.80615510889242,3.8471272810437194,tree
9.505141101393868,20.962824057878137,4.765485941624307,1.9977429743449928,car
12.952959925357172,25.31730242747158,6.368328937866874,2.8341325412654594,bike
8.396867330729194,15.523660767652583,4.116991978191209,1.1439902260111852,phone
13.400287276771637,17.307669817213448,7.29683709555149,2.9379561217365904,house
16.31762095515146,16.681653483967473,8.468260194394258,4.157608181784752,tree
10.266537017573949,19.05091563095942,4.684777509533063,2.463351196398272,car
12.507470827635428,25.42457674804217,6.057925553614252,3.0897016839767177,bike
8.61436758445195,15.560130036401135,3.8343106276389864,0.9377861151417106,phone
13.455244407297936,18.339100175751035,6.505455551312421,3.4606550250823696,house
16.359890241637185,16.43192177874946,8.189572324142546,3.6875013142927977,tree
9.63379917825154,19.031939535656754,4.530499720048526,2.200061192685213,car
11.191574653760433,24.86838052389419,5.995140036622968,2.6959244362761696,bike
7.178048467928831,15.502197491249172,4.304634783244959,0.8601533304415593,phone
13.820891115027363,17.962537525725953,6.680742203810407,2.960662692958311,house
15.456294909656462,17.69036988539671,8.089087316262473,4.4368746669800645,tree
10.447975101337118,20.154863616501334,5.39503109895245,2.0363394144025224,car
12.130048496800924,24.84819736165273,6.2724328803823965,2.5087569949297004,bike
8.948101779276044,15.255473750556709,3.7292349037131576,1.4296105120921383,phone
13.24410177259882,18.42495212021835,6.544923618264184,3.3432856063550505,house
15.422447053531577,16.94811515402826,7.840949192035114,4.456822161501863,tree
10.27888489760282,19.459475900726733,4.788280835259059,1.9707054897223915,car
12.367145541626853,24.630718722006367,6.174003619852045,3.3072940589892452,bike
7.464586365570599,14.13850167717671,3.945851997712549,1.225525522570745,phone
14.456424041209186,17.298249229717825,7.286411321739199,3.030599227910463,house
16.431757942291092,16.425697457866978,7.907780449024179,3.919347741822613,tree
10.378757080766452,19.8274383316687,5.15704317820231,2.3259812172236485,car
11.91370857918557,25.990721400369424,5.569011348576291,3.3237697878004817,bike
7.8895872604003,15.177517950037336,4.244243901352544,1.2379372858077606,phone
